Lp.;Nazwa Muzeum;Kod pocztowy;Miejscowość;Gmina;Powiat;Województwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeśli nie występuje w komórkach C1-G1);Miejscość (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Założyciela;Nazwa Organizatora I/ Założyciela;Nazwa Organizatora II/ Założyciela;Nazwa Organizatora III/ Założyciela;Data wpisu do Państwowego Rejestru Muzeów (dotyczy Muzeum wpisanego do Państwowego Rejestru Muzeów);Status muzeum;Data wykreślenia z rejestru;zakończenie procesu organizacji
742;Karpackie Muzeum Broni i Wyposażenia Wojskowego (w organizacji);38-400 ;Krosno ;Krosno;krośnieński;PODKARPACKIE ;ul. ;Rynek ;3;;;;;;;;Fundacja STEN;;;;;Utworzone przez osoby prawne ;;
743;Kujawskie Muzeum Oręża, Nauki i Techniki (w organizacji);87-880;Brześć Kujawski;Brześć Kujawski;włocławski;KUJAWSKO-POMORSKIE;ul.;Redecz Krukowy;8A;;;;;;;;Fundacja im. Janusza Borkowskiego „Godne Życie na Kujawach”;;;;;Utworzone przez osoby prawne;;
744;Małopolskie Muzeum Pożarnictwa im. Z. Gęsikowskiego w Alwerni;32-566;Alwernia;Alwernia;chrzanowski;MAŁOPOLSKIE;ul.;Korycińskiego;10;;;;;;;;Ochotnicza Straż Pożarna w Alwerni;;;;;Utworzone przez osoby prawne;;
745;Mazurskie Muzeum Militariów ;11-400;Kętrzyn;Kętrzyn;kętrzyński;WARMIŃSKO-MAZURSKIE;ul.;Parcz;7;1;;;;;;;"Fundacja Edukacji Historycznej ,,Park Militariów"" ";;;;;Utworzone przez osoby prawne;;
746;Mobilne Muzeum Lotnictwa i Techniki w Warszawie (w organizacji);02-063;Warszawa;Warszawa (Ochota);m. st. Warszawa;MAZOWIECKIE;ul.;Górnickiego;3;8;;;;;;;Fundacja Lot Classic J. Makula &Partnerzy;;;;;Utworzone przez osoby prawne;;
747;Mobilne Muzeum Militarne we Wrocławiu (w organizacji);51-180;Wrocław;Wrocław (Wrocław-Psie Pole);m. Wrocław;DOLNOŚLĄSKIE;ul.;Pełczyńska;33;;;;;;;;Fundacja Inicjatyw Społecznych i Kulturalnych JEDYNKA;;;;;Utworzone przez osoby prawne;;
748;Muzeum Akademii Sztuk Pięknych w Warszawie;00-068;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Krakowskie Przedmieście;5;;;;;;;;Akademia Sztuk Pięknych;;;;;Utworzone przez osoby prawne;;
749;Muzeum Archeologiczno-Historyczne w Moryniu (w organizacji);70-504;Moryń;Moryń;gryfiński;ZACHODNIOPOMORSKIE;ul.;Jeziorna;8;;;;;;;;Towarzystwo Wszechstronnego Rozwoju COLLEGIUM;;;;;Utworzone przez osoby prawne;;
750;Muzeum Architektury I Ikony Karpackiej w Baligrodzie (w organizacji);38-606;Baligród;Baligród;leski;PODKARPACKIE;UL. ;Bieszczadzka;1;;;;;;;;Stowarzyszenie Ratowania Cerkwi w Baligrodzie;;;;;Utworzone przez osoby prawne;;
751;Muzeum ARMA BELLUM Moto - Armii Sp. z o.o. (w organizacji);78-600;Wałcz;Wałcz;wałecki;ZACHODNIOPOMORSKIE;ul. ;Kilińszczaków ;40B;;;;;;;;Moto - Armia Sp. z o.o. ;;;;;Utworzone przez osoby prawne ;;
752;Muzeum Bambrów Poznańskich;60-723;Poznań;Poznań (Poznań-Grunwald);m. Poznań;WIELKOPOLSKIE;ul.;Mostowa;7;9;;;;;;;Towarzystwo Bambrów Poznańskich w Poznaniu;;;;;Utworzone przez osoby prawne;;
753;Muzeum Brodnickiej Grupy Eksploracyjno -Poszukiwawczej (w organizacji) ;87-313;Brzozie ;Brzozie ;brodnicki KUJAWSKO- POMORSKIE ;;;;48;;;;;;;;Stowarzyszenie Brodnicka Grupa Eksploracyjno - Poszukiwawcza ;;;;;Utworzone przez osoby prawne ;;
754;Muzeum Broni Dawnej i Nowej Fundacji In Singulis Dextra (w organizacji);75-950 ;Koszalin ;Koszalin ;koszaliński;ZACHODNIOPOMORSKIE;ul. ;Rynek Staromiejski ;5;1;;;;;;;Fundacja In Singulis Dextra ;;;;;Utworzone przez osoby prawne ;;
755;Muzeum Broni Dawnej i Nowej Towarzystwa Strzeleckiego;75-038;Koszalin;Koszalin;m. Koszalin;ZACHODNIOPOMORSKIE;ul.;Zwycięstwa;46;4D;;;;;;;Towarzystwo Strzeleckie z siedzibą w Koszalinie ;;;;;Utworzone przez osoby prawne;;
756;Muzeum Broni i Sprzętu Wojskowego Kwidzyńskiego Stowarzyszenia Sportowo-Kolekcjonerskiego GWARD;82-500;Kwidzyn;Kwidzyn;kwidzyński;POMORSKIE;ul.;Miłosna;18;;;;;;;;Kwidzyńskie Stowarzyszenie Sportowo-Kolekcjonerskie GWARD;;;;;Utworzone przez osoby prawne;;
757;Muzeum Broni i Sprzętu Wojskowego SIRGUNE (w organizacji);82-440;Dzierzgoń;Dzierzgoń;sztumski;POMORSKIE;ul.;Odrodzenia;4;;;;;;;;SALU Sp. z o.o.;;;;;Utworzone przez osoby prawne;;
758;Muzeum Bursztynu;78-100;Kołobrzeg;Kołobrzeg;kołobrzeski;ZACHODNIOPOMORSKIE;ul.;Waryńskiego ;4;;;;;;;;Sunstone sp.z o.o.;;;;;Utworzone przez osoby prawne;;
759;Muzeum Chirurgii i Sali Operacyjnej w Ustroniu ;43-450;Ustroń;Ustroń;cieszyński;ŚLĄSKIE;ul.;Szpitalna;11;;;;;;;;Śląski Szpital Reumatologiczno- Rehabilitacyjny w Ustroniu ;;;;;Utworzone przez osoby prawne;;
760;Muzeum Czynu Bojowego Kleeberczyków w Woli Gułowskiej (w organizacji);21-481;Wola Gułowska ;Wola Gułowska;łukowski;LUBELSKIE;ul.;;68;;;;;;;;Samorządowa instytucja kultury - Dom Kultury - Pomnik Czynu Bojowego Kleeberczyków w Woli Gułowskiej, dla której organizatorem jest Gmina Adamów;;;;;Utworzone przez osoby prawne;;
761;Muzeum Czynu Niepodległościowego ;30-063;Kraków;Kraków (Kraków-Krowodrza);m. Kraków;MAŁOPOLSKIE;ul.;3 Maja;7;;;;;;;;Związek Legionistów Polskich ;;;;;Utworzone przez osoby prawne;;
762;Muzeum Czynu Zbrojnego w Krakowie Nowej Hucie;31-961;Kraków;Kraków (Kraków-Nowa Huta);m. Kraków;MAŁOPOLSKIE;os. ;Górali;23;;;;;;;;Małopolska Fundacja Dom Kombatanta RP - Muzeum Czynu Zbrojnego;;;;;Utworzone przez osoby prawne;;
763;"Muzeum Edukacji ,,Pszczółki"" w Niezwojowicach ";32-109;Pałecznica Niezwojowice;Pałecznica;proszowicki;MAŁOPOLSKIE;;;23;;;;;;;;"Fundacja na rzecz Kultury Sztuki i Przyrody ,,Pszczółki""";;;;;Utworzone przez osoby prawne;;
764;Muzeum Eksploracji Polskiej (w organizacji);80-518;Gdańsk;Gdańsk;m. Gdańsk;POMORSKIE;ul.;Gdańska;21;E;;;;;;;"Fundacja Na Rzecz Odzyskania Zaginionych Dzieł Sztuki ""LATEBRA""";;;;;Utworzone przez osoby prawne;;
765;Muzeum Fort Wielka Księża Góra (w organizacji);86-302;Grudziądz;Grudziądz;grudziądzki;KUJAWSKO-POMORSKIE;;Wielkie Lniska;22;;;;;;;;Stowarzyszenie Fort Wielka Księża Góra;;;;;Utworzone przez osoby prawne;;
766;Muzeum Fortyfikacji Pancernej Twierdzy Toruń;87-100;Toruń;Toruń;m. Toruń;KUJAWSKO-POMORSKIE;ul.;Poznańska;191;199;;;;;;;Toruńskie Towarzystwo Fortyfikacyjne;;;;;Utworzone przez osoby prawne;;
767;Muzeum Fryderyka Chopina w Warszawie;00-368;Warszawa (Zamek Ostrogskich);Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Okólnik;1;;;;;;;;Narodowy Instytut Fryderyka Chopina ;;;;2018-12-28;Utworzone przez osoby prawne;;
768;Muzeum Gazownictwa w Paczkowie;48-370;Paczków;Paczków;nyski;OPOLSKIE;ul.;Pocztowa;6;;;;;;;;Górnośląska Spółka Gazownictwa Sp. z o.o.;;;;;Utworzone przez osoby prawne;;
769;Muzeum Gazownictwa w Warszawie;01-224;Warszawa;Warszawa (Wola);m. st. Warszawa;MAZOWIECKIE;ul.;Marcina Kasprzaka;25;;;;;;;;Polskie Górnictwo Naftowe i Gazownictwo Spółka Akcyjna ;;;;;Utworzone przez osoby prawne;;
770;Muzeum Grodziska Kolej Drezynowa (w organizacji);62-065;Ptaszkowo;Grodzisk Wielkopolski ;grodziski ;WIELKOPOLSKIE;;;82;;;;;;;;Stowarzyszenie Grodziska Kolej Drezynowa;;;;;Utworzone przez osoby prawne ;;
771;Muzeum Gryfa Pomorskiego;84-251;Lisewo;Chynowie;wejherowski;POMORSKIE;;;28;;;;;;;;Militarni Team Sp. z o.o. z siedzibą w Gdyni;;;;;Utworzone przez osoby prawne;;
772;Muzeum Harcerstwa w Warszawie;00-491;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Konopnickiej;6;;;;;;;;Związek Harcerstwa Polskiego;;;;;Utworzone przez osoby prawne;;
773;Muzeum Historii i Uzbrojenia w Opolu przy Stowarzyszeniu 10 Sudeckiej Dywizji Zmechanizowanej (w organizacji);45-063;Opole;Opole;m. Opole;OPOLSKIE;ul.;Kościuszki;45;;;;;;;;Stowarzyszenie 10 Sudeckiej Dywizji Zmechanizowanej ;;;;;Utworzone przez osoby prawne;;
774;Muzeum Historii Kocka;21-150;Kock;Kock;lubartowski;LUBELSKIE;ul.;Marcina Stępnia ;6;;;;;;;;Miejsko-Gminna Biblioteka Publiczna z siedzibą w Kocku;;;;;Utworzone przez osoby prawne;;
775;Muzeum Historii Medycyny Warszawskiego Uniwersytetu Medycznego (w organizacji);02-091;Warszawa;Warszawa (Ochota);m. st. Warszawa;MAZOWIECKIE;ul.;Żwirki i Wigury;63;;;;;;;;Warszawski Uniwersytet Medyczny;;;;;Utworzone przez osoby prawne;;
776;Muzeum Historii Obronności i Oręża Polskiego w Drzewcach (w organizacji);86-065;Drzewce;Łochowo;bydgoski;KUJAWSKO-POMORSKIE;ul.;Drzewiecka;15;;;;;;;;"Stowarzyszenie Kulturalno-Naukowe ""AWANGARDA"" w Drzewcach";;;;;Utworzone przez osoby prawne;;
777;Muzeum Historii Ocalonej – TRISKELION (w organizacji);58-260;Bielawa;Bielawa;dzierżoniowski;DOLNOŚLĄSKIE;ul.;Wschodnia;9;;;;;;;;Stowarzyszenie Historyczno-Eksploatacyjne TRISKELION ;;;;;Utworzone przez osoby prawne;;
778;Muzeum Historii Szczypiorna ;62-800;Kalisz;Kalisz;m. Kalisz;WIELKOPOLSKIE;ul.;Wrocławska;189;;;;;;;;Stowarzyszenie Szczypiorniak z siedzibą w Kaliszu ;;;;;Utworzone przez osoby prawne;;
779;Muzeum Historii Twierdzy Świnoujście;72-600;Świnoujście;Świnoujście;m. Świnoujście;ZACHODNIOPOMORSKIE;ul.;Jachtowa;1;;;;;;;;Stowarzyszenie Miłośników Fortów w Świnoujściu „Reduta”;;;;;Utworzone przez osoby prawne;;
780;Muzeum Historyczne im. 7 Pułku Lansjerów Nadwiślańskich (w organizacji);05-074;Halinów;Halinów;miński;MAZOWIECKIE;ul.;Okuniewska;114;;;;;;;;Stowarzyszenie Historyczno – Edukacyjne im. 7 Pułku Lansjerów Nadwiślańskich ;;;;;Utworzone przez osoby prawne;;
781;Muzeum Historyczne „Skarb” w Policach;72-010;Police;Police;policki;ZACHODNIOPOMORSKIE;ul.;Spółdzielcza;31;;;;;;;;Stowarzyszenie Przyjaciół Ziemi Polickiej „Skarb” z siedzibą w Policach ;;;;;Utworzone przez osoby prawne;;
782;Muzeum Historyczne przy PBG Spółka Akcyjna;62-081;Wysogotowo (poczta Przeźmierowo);Dąbrowa;poznański;WIELKOPOLSKIE;ul.;Skórzewska;35;;;;;;;;PBG S. A z siedzibą w Wysogotowie ;;;;;Utworzone przez osoby prawne;;
783;Muzeum Historyczne w Bytomiu (w organizacji);41-902;Bytom;Bytom;m. Bytom;ŚLĄSKIE;ul.;Prusa;14;5;;;;;;;Fundacja im. Mieczysława Dumnickiego;;;;;Utworzone przez osoby prawne;;
784;Muzeum Hutnictwa Cynku - Walcownia;40-387;Katowice;Katowice;m. Katowice;ŚLĄSKIE;ul.;11 Listopada;50;;;;;;;;Fundacja Ochrony Dziedzictwa Przemysłowego Śląska ;;;;;Utworzone przez osoby prawne;;
785;Muzeum Hutnictwa Doliny Małej Panwi;46-040;Ozimek;Szczedrzyk;opolski;OPOLSKIE;ul.;Hutnicza;1;;;;;;;;Stowarzyszenie Dolina Małej Panwi;;;;;Utworzone przez osoby prawne;;
786;Muzeum im. G. i. J. Osiakowskich (w organizacji);62-800;Kalisz;Kalisz;m. Kalisz;WIELKOPOLSKIE;ul.;Garbarska;2;;;;;;;;Fundacja ,,Króla Salomona”;;;;;Utworzone przez osoby prawne;;
787;Muzeum Broni Dawnej i Nowej w Sandomierzu Fundacji im. Żołnierzy Wyklętych (w organizacji);27-600;Sandomierz;Sandomierz;sandomierski;ŚWIĘTOKRZYSKIE;ul.;Doktora Feliksa Milberta 8;41;;;;;;;;Fundacja im. Żołnierzy Wyklętych;;;;;Utworzone przez osoby prawne;;
788;Muzeum Instytutu Tarnogórskiego ;42-600;Tarnowskie Góry;Tarnowskie Góry (Repty);tarnogórski;ŚLĄSKIE;ul.;Ligonia;7;;;;;;;;Instytut Tarnogórski i Muzeum ;;;;;Utworzone przez osoby prawne;;
789;Muzeum Kampanii Wrześniowej i Twierdzy Modlin;05-100;Nowy Dwór Mazowiecki (Twierdza Modlin);Kazuń Nowy;nowodworski;MAZOWIECKIE;ul.;Baśki Murmańskiej;164;;;;;;;;Stowarzyszenie Przyjaciół Muzeum Kampanii Wrześniowej i Twierdzy Modlin;;;;;Utworzone przez osoby prawne;;
790;Muzeum Kaszubskie Kamienie;83-304;Przodkowo;Przodkowo;kartuski;POMORSKIE;;Kawle Dolne ;88;;;;;;;;Fundacja Kaszubkie Kamienie;;;;;Utworzone przez osoby prawne;;
791;Muzeum Katolickiego Uniwersytetu Lubelskiego Jana Pawła II (w organizacji);20-950;"Lublin 
";Lublin ;lubelski;LUBELSKIE;Al.;Racławickie;14;;;;;;;;Katolicki Uniwersytet Lubelski Jana Pawła II ;;;;;Utworzone przez osoby prawne ;;
792;Muzeum Kierownictwa Dywersji Armii Krajowej w Stalowej Woli - Rozwadowie (w organizacji);37-464;Stalowa Wola;Stalowa Wola;stalowowolski;PODKARPACKIE;ul. ;Stanisława Bełżyńskiego ;18;;;;;;;;Fundacja KEDYW;;;;;Utworzone przez osoby prawne ;;
793;Muzeum Klubu Sportowego Widzew Łódź w Łodzi (w organizacji) ;92-230 ;Łódź;Łódź;m. Łódź ;ŁÓDZKIE;AL.;Marszałka Józefa Piłsudskiego;138;;;;;;;;Stowarzyszenie Reaktywacja Tradycji Sportowych Widzew Łódź ;;;;;Utworzone przez osoby prawne ;;
794;Muzeum Komputerów I Konsol w Osielsku;86-031;Osielsko, Myślęcinek;Osielsko;bydgoski;KUJAWSKO-POMORSKIE;ul. ;Bielska;1;;;;;;;;Fundacja Dookoła Świata;;;;;Utworzone przez osoby prawne;;
795;Muzeum Książąt Lubomirskich;50-139;Wrocław;Wrocław;Wrocław ;DOLNOŚLĄSKIE;ul.;Szewska;37;;;;;;;;Zakład Narodowy im. Ossolińskich;;;;;Utworzone przez osoby prawne ;;
796;Muzeum Kolejnictwa;00-811;Warszawa;m.st. Warszawa;m.st. Warszawa ;MAZOWIECKIE;ul.;Towarowa;3;;;;;;;;Stacja Muzeum;;;;;Utworzone przez osoby prawne ;;
797;Muzeum Kolejnictwa na Śląsku;58-140;Jaworzyna Śląska;Jaworzyna Śląska;świdnicki;DOLNOŚLĄSKIE;ul.;Towarowa;4;;;;;;;;Fundacja Ochrony Dziedzictwa Przemysłowego Śląska ;;;;;Utworzone przez osoby prawne;;
798;Muzeum Kolekcji im. Jana Pawła II Fundacji Carroll-Porczyńskich w Warszawie;00-139;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;Plac;Bankowy;1;;;;;;;;Fundacja Arteks i Konferencja Episkopatu Polski ;;;;;Utworzone przez osoby prawne;;
799;Muzeum Kolekcja Sztuki Współczesnej;26-600;Radom;Radom;m. Radom;MAZOWIECKIE;ul.;Kopernika;1;;;;;;;;Samorządowa instytucja kultury - Mazowieckie Centrum Sztuki Współczesnej „Elektrownia” w Radomiu, dla której organizatorem jest Województwo Mazowieckie;;;;;Utworzone przez osoby prawne;;
800;Muzeum Komputerów i Gier w Warszawie (w organizacji);00-609;Warszawa;m.st. Warszawa;m. st. Warszawa;MAZOWIECKIE;al.;Niepodległości;208A;;;;;;;;Warszawskie Muzeum Komputerów i Gier sp. z o.o.;;;;;Utworzone przez osoby prawne;;
801;Muzeum Komunikacji w Warszawie (w organizacji) ;03-309;Warszawa;Warszawa (Targówek);m. st. Warszawa;MAZOWIECKIE;ul.;Pożarowa;2;;;;;;;;Fundacja Heredis ;;;;;Utworzone przez osoby prawne;;
802;Muzeum Koronki Koniakowskiej w Koniakowie (w organizacji);43-474;Koniaków;Istebna;cieszyński;ŚLĄSKIE;;Koniaków;704;;;;;;;;Fundacja Koronki Koniakowskiej;;;;;Utworzone przez osoby prawne;;
803;Muzeum Książki Artystycznej w Łodzi;90-349;Łódź;Łódź (Łódź-Widzew);m. Łódź;ŁÓDZKIE;ul.;Tymienieckiego;24;;;;;;;;Fundacja Correspondance des Arts;;;;;Utworzone przez osoby prawne;;
804;Muzeum Kultury Łemkowskiej w Zyndranowej;38-454;Tylawa;Dukla;krośnieński;PODKARPACKIE;;Zyndranowa;1;;;;;;;;Towarzystwo na Rzecz Rozwoju Muzeum Kultury Łemkowskiej;;;;;Utworzone przez osoby prawne;;
805;Muzeum Lokalne Kolejki Szprotawskiej w Zielonej Górze (w organizacji);65-462;Zielona Góra;Zielona Góra;m. Zielona Góra;LUBUSKIE;ul.;Ogrodowa;3c;;;;;;;;Polskie Towarzystwo Krajoznawcze;;;;;Utworzone przez osoby prawne;;
806;Muzeum Lotnictwa i Techniki Militarnej w Rogowie;72-330;Rogowo,;Mrzeżyno;gryficki;ZACHODNIOPOMORSKIE;;Rogowo;376;41;;;;;;;Fundacja na rzecz Ochrony Zabytków militarnych i propagowania sportów lotniczych ,,Fort-Rogowo” z siedzibą w Rogowie;;;;;Utworzone przez osoby prawne;;
807;Muzeum Lotnictwa Ziemi Świdwińskiej (w organizacji);78-300;Świdwin;Świdwin;świdwiński;ZACHODNIOPOMORSKIE;ul.;Niedziałkowskiego;17;;;;;;;;Stowarzyszenie Przyjaciół Lotniska Wojskowego Świdwin z siedzibą w Świdwinie;;;;;Utworzone przez osoby prawne;;
808;Muzeum Lotnicze w Góraszce;05-462;Góraszka Gm. Wiązowna ;Wiązowna;otwocki;MAZOWIECKIE;;Lotnisko Góraszka;;;;;;;;;Fundacja „Polskie Orły”;;;;;Utworzone przez osoby prawne;;
809;Muzeum Lwowa i Kresów Południowo-Wschodnich (w organizacji);96-325;Radziejowice;Radziejowice;żyrardowski;MAZOWIECKIE;;Kuklówka Radziejowicka;23A;;;;;;;;Fundacja Lwów i Kresy Południowo-Wschodnie;;;;;Utworzone przez osoby prawne;;
810;Muzeum Marcepanów w Piotrkowie Trybunalskim;97-300;Piotrków Trybunalski;Piotrków Trybunalski;Piotrków Trybunalski;ŁÓDZKIE;ul.;Słowackiego;116;;;;;;;;Piotrkowskie Bractwo Akademickie im. Zygmunta I Starego;;;;;Utworzone przez osoby prawne;;
811;Muzeum Miasta i Rzeki Warty przy Oddziale PTTK im. dr E. Kaleniewicz w Warcie;98-290;Warta;Warta;sieradzki;ŁÓDZKIE;ul.;20 stycznia ;26;;;;;;;;Oddział Polskiego Towarzystwa Turystyczno – Krajoznawczego im. dr Eugenii Kaleniewicz w Warcie;;;;;Utworzone przez osoby prawne;;
812;Muzeum Miasta Piastowa w Piastowie;05-820;Piastów;Piastów;pruszkowski;MAZOWIECKIE;ul.;11 Listopada;8;;;;;;;;Piastowskie Archiwum Miejskie;;;;;Utworzone przez osoby prawne;;
813;Muzeum Miejskie w Górowie Iławeckim ;11-220;Górowo Iławeckie;Górowo Iławeckie;bartoszycki;WARMIŃSKO-MAZURSKIE;ul.;Sikorskiego;19;3;;;;;;;Stowarzyszenie Historyczno – Kolekcjonerskie Ziemi Górowskiej ,,DREYSE”;;;;;Utworzone przez osoby prawne;;
814;Muzeum Militarnych Dziejów Śląska w Pszczynie (w organizacji);43-200;Pszczyna;Góra;pszczyński;ŚLĄSKIE;ul.;Katowicka;1;;;;;;;;,,PRO MEMORIA” Stowarzyszenie Bitwy pod Pszczyną 1939;;;;;Utworzone przez osoby prawne;;
815;Muzeum Morskiego Dywizjonu Lotniczego w Pucku;84-100;Puck;Swarzewo;pucki;POMORSKIE;ul.;10 Lutego;36;;;;;;;;Stowarzyszenie Historyczne Morskiego Dywizjonu Lotniczego w Pucku;;;;;Utworzone przez osoby prawne;;
816;Muzeum Motoryzacji i techniki w Roczynach (w organizacji);34-120;Andrychów;Andrychów;wadowicki;MAŁOPOLSKIE;ul.;Sadowa (w miejscowości Roczyny);21;;;;;;;;STALVEN Spółka z ograniczoną odpowiedzialnością;;;;;Utworzone przez osoby prawne;;
817;Muzeum Motoryzacji w Lublinie ;20-704;Lublin;Lublin ;Lublin;LUBELSKIE;ul.;Skromna;5;;;;;;;;Fundacja Niepodległości;;;;;Utworzone przez osoby prawne;;
818;Muzeum Nauk Rolniczych im. Książąt Czartoryskich w Puławach (w organizacji);24-100;Puławy;Góra Puławska;puławski;LUBELSKIE;ul.;Czartoryskich;8;;;;;;;;Instytut Uprawy Nawożenia i Gleboznawstwa – Państwowy Instytut Badawczy w Puławach;;;;;Utworzone przez osoby prawne;;
819;Muzeum Nalewki Łódzkiej (w organizacji);;Łódź;Łódż;łódzki ;ŁÓDZKIE;ul.;Nowomiejska;14;;;;;;;;MRT Philosophy sp. z o.o. ;;;;;Utworzone przez osoby prawne;;
820;Muzeum Obrony Wybrzeża;84-150;Hel;Hel;pucki;POMORSKIE;ul.;Helska;16;;;;;;;;Stowarzyszenie ,,Przyjaciele Helu”, Sekcja Zabytków Militarnych;;;;;Utworzone przez osoby prawne;;
821;Muzeum Oręża i Techniki Użytkowej;05-230;Kobyłka;Kobyłka;wołomiński;MAZOWIECKIE;ul.;Leszka;23;;;;;;;;Fundacja EKSPONAT;;;;;Utworzone przez osoby prawne;;
822;Muzeum Oręża Polskiego im. 1. Brygady Pancernej im. Bohaterów Westerplatte;26-903;Głowaczów;Brzóza;kozienicki;MAZOWIECKIE;;Studzianki Pancerne;14;;;;;;;;Fundacja Obrońców Ojczyzny ,,Pancerze i Skrzydła”;;;;;Utworzone przez osoby prawne;;
823;Muzeum „Otwarta Twierdza”-Otwarte Rozproszone Ekomuzeum Cywilizacji i Wojny XIX i XX wieku;31-153;Kraków;Kraków (Kraków-Śródmieście);m. Kraków;MAŁOPOLSKIE;ul.;Szlak;26;;;;;;;;Fundacja Aktywnej Ochrony Zabytków, Techniki i Dziedzictwa Kulturowego „Janus”;;;;;Utworzone przez osoby prawne;;
824;Muzeum Pałac Sulisław (w organizacji);49-200;Sulisław;Grodków;brzeski;OPOLSKIE;;Sulisław;24;;;;;;;;BJ Sp. zo.o.;;;;;Utworzone przez osoby prawne;;
825;Muzeum Pamiątek Turystycznych PTTK w Radomiu;26-610;Radom;Radom;m. Radom;MAZOWIECKIE;ul.;Traugutta;46;48;;;;;;;Zarząd Oddziału Miejskiego PTTK w Radomiu;;;;;Utworzone przez osoby prawne;;
826;Muzeum Pamięci Narodowej Kobiet Polskich w Szczecinie (w organizacji);71-612;Szczecin;Szczecin;m. Szczecin;ZACHODNIOPOMORSKIE;ul.;Malczewskiego;35;LU1;;;;;;;Fundacja Oleander;;;;;Utworzone przez osoby prawne;;
827;Muzeum Pamięci Powstania Warszawskiego;00-084;Warszawa;Warszawa;m.st. Warszawa ;MAZOWIECKIE;ul. ;Daniłowiczowska;18b;;;;;;;;"Stowarzyszenie Grupa Historyczna ""Zgrupowanie Radosław""";;;;;Utworzone przez osoby prawne;;
828;Muzeum Papiernictwa w Dawnej Królewskiej Fabryce Papieru w Konstancinie-Jeziornie;05-520;Konstancin -Jeziorna;Konstancin-Jeziorna;piaseczyński;MAZOWIECKIE;ul.;Mirkowska;45;;;;;;;;Konstans Sp. z o.o.;;;;;Utworzone przez osoby prawne;;
829;Muzeum Parowozownia Jarocin w Jarocinie (w organizacji);63-200;Jarocin;Jarocin;jarociński;WIELKOPOLSKIE;ul.;Parowozownia;1;;;;;;;;Towarzystwo Kolei Wielkopolskiej z siedzibą w Jarocinie;;;;;Utworzone przez osoby prawne;;
830;Muzeum „Pod Kuźniczym Młotem” ;34-500;Zakopane;Zakopane;tatrzański;MAŁOPOLSKIE;Plac;Niepodległości;6;;;;;;;;Zakopiańska Fundacja Narodowa „Skansen”;;;;;Utworzone przez osoby prawne;;
831;Muzeum Polskich Sił Zbrojnych w Lublinie;20-704;Lublin ;Lublin ;Lublin;LUBELSKIE;ul.;Skromna;5;;;;;;;;Fundacja Niepodległości;;;;;Utworzone przez osoby prawne;;
832;Muzeum Polskiego Czynu Zbrojnego w Armiach Sprzymierzonych (w organizacji);83-330 ;Borkowo;Żukowo;kartuski ;POMORSKIE;ul. ;Kartuska ;65;;;;;;;;"Fundacja Muzeum Polskiego Czynu Zbrojnego Armii Sprzymierzonych ,,ALLIANT""";;;;;Utworzone przez osoby prawne ;;
833;Muzeum Pomorskich Kolei Wąskotorowych ;75-108;Koszalin (Centrum Pielgrzymkowo - Turystyczne przy Domu Zakonnym - Góra Chełmska);Koszalin ;koszaliński;ZACHODNIOPOMORSKIE;;ul. Kolejowa ;4;;;;;;;;Towarzystwo Koszalińskiej Kolei Wąskotorowej ;;;;;Utworzone przez osoby prawne ;;
834;Muzeum Poszukiwaczy Śladów Historii „DENAR” (w organizacji);62-811;Kościelna Wieś;Gołuchów;pleszewski;WIELKOPOLSKIE;ul.;Łęgowa;1g;;;;;;;;"Kaliskie Stowarzyszenie Poszukiwaczy Śladów Historii ""DENAR""";;;;;Utworzone przez osoby prawne ;;
835;Muzeum Powozów Galowice;55-020;Żórawina, Galowice;Brzeście;wrocławski;DOLNOŚLĄSKIE;ul.;Leśna;5;;;;;;;;Fundacja ,,Gallen”;;;;;Utworzone przez osoby prawne;;
836;Muzeum Pożarnictwa w Przodkowie;83-304;Przodkowo;Przodkowo;kartuski;POMORSKIE;ul.;Kartuska;23;;;;;;;;Stowarzyszenie Ochotnicza Straż Pożarna w Przodkowie;;;;;Utworzone przez osoby prawne;;
837;Muzeum PRL-u i Historii Miasta Nowy Dwór Mazowiecki (w organizacji);05-100;Nowy Dwór Mazowiecki;Kazuń Nowy;nowodworski;MAZOWIECKIE;ul.;Nowołęczna;2;;;;;;;;Fundacja dla Muzeum PRL-u i Historii Miasta Nowy Dwór Mazowiecki;;;;;Utworzone przez osoby prawne;;
838;Muzeum PRL-u w Rudzie Śląskiej;41-711;Ruda Śląska;Ruda Śląska;Ruda Śląska;ŚLĄSKIE;ul.;Zajęcza;42;;;;;;;;Fundacja Minionej Epoki;;;;;Utworzone przez osoby prawne;;
